Name,Danceability,Energy,Key,Loudness,Mode,Speechness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Type,ID,Uri,Ref_Track,URL_features,Duration_ms,time_signature,Genre
MinorBlues,0.702,0.483,10,-9.467,0,0.0419,0.55,0.0116,0.0807,0.629,119.028,audio_features,3v8rQ9Cgj4lThO44u17eoY,spotify:track:3v8rQ9Cgj4lThO44u17eoY,https://api.spotify.com/v1/tracks/3v8rQ9Cgj4lThO44u17eoY,https://api.spotify.com/v1/audio-analysis/3v8rQ9Cgj4lThO44u17eoY,395160,4,acoustic
Bowlegged,0.728,0.334,4,-13.944,0,0.11,0.027,0.808,0.0746,0.618,93.45,audio_features,5DHZjCiuJnSnZAOH2ZVTHF,spotify:track:5DHZjCiuJnSnZAOH2ZVTHF,https://api.spotify.com/v1/tracks/5DHZjCiuJnSnZAOH2ZVTHF,https://api.spotify.com/v1/audio-analysis/5DHZjCiuJnSnZAOH2ZVTHF,372453,3,acoustic
TheWorldofFun,0.728,0.801,5,-4.39,1,0.0393,0.325,0.672,0.291,0.812,110.135,audio_features,6hTWHlZxC8VGRgJciT5OYW,spotify:track:6hTWHlZxC8VGRgJciT5OYW,https://api.spotify.com/v1/tracks/6hTWHlZxC8VGRgJciT5OYW,https://api.spotify.com/v1/audio-analysis/6hTWHlZxC8VGRgJciT5OYW,522360,4,acoustic
SaltLick,0.417,0.641,1,-11.077,1,0.0527,0.35,0.626,0.201,0.593,145.723,audio_features,50g2Hr5TGWGzSWUCIKFmd0,spotify:track:50g2Hr5TGWGzSWUCIKFmd0,https://api.spotify.com/v1/tracks/50g2Hr5TGWGzSWUCIKFmd0,https://api.spotify.com/v1/audio-analysis/50g2Hr5TGWGzSWUCIKFmd0,584733,4,acoustic
Distraction,0.651,0.636,2,-6.739,1,0.0491,0.13,0.851,0.397,0.786,109.908,audio_features,2Rq1acVg4aE3WVQaTo7dHM,spotify:track:2Rq1acVg4aE3WVQaTo7dHM,https://api.spotify.com/v1/tracks/2Rq1acVg4aE3WVQaTo7dHM,https://api.spotify.com/v1/audio-analysis/2Rq1acVg4aE3WVQaTo7dHM,400173,4,acoustic
Berlin,0.365,0.745,5,-10.499,0,0.0586,0.0901,0.353,0.0689,0.489,127.229,audio_features,0V0Tw2LtEYEqWyJutYyf9c,spotify:track:0V0Tw2LtEYEqWyJutYyf9c,https://api.spotify.com/v1/tracks/0V0Tw2LtEYEqWyJutYyf9c,https://api.spotify.com/v1/audio-analysis/0V0Tw2LtEYEqWyJutYyf9c,545890,3,acoustic
Takethis!,0.554,0.818,11,-7.108,0,0.0568,0.00606,0.85,0.0356,0.804,138.975,audio_features,0K1oPS1d3G18JJOzGyTiDG,spotify:track:0K1oPS1d3G18JJOzGyTiDG,https://api.spotify.com/v1/tracks/0K1oPS1d3G18JJOzGyTiDG,https://api.spotify.com/v1/audio-analysis/0K1oPS1d3G18JJOzGyTiDG,392933,4,acoustic
CosmicUnderground,0.609,0.751,7,-10.081,1,0.0339,0.588,0.909,0.353,0.638,115.025,audio_features,35vrAaOvThXxvHwpbwrmng,spotify:track:35vrAaOvThXxvHwpbwrmng,https://api.spotify.com/v1/tracks/35vrAaOvThXxvHwpbwrmng,https://api.spotify.com/v1/audio-analysis/35vrAaOvThXxvHwpbwrmng,397640,4,acoustic
Groovin\High,0.344,0.472,0,-16.371,0,0.0331,0.796,0.671,0.0731,0.885,143.732,audio_features,3Ct7wdx4Ht0c7ck0OeY5ub,spotify:track:3Ct7wdx4Ht0c7ck0OeY5ub,https://api.spotify.com/v1/tracks/3Ct7wdx4Ht0c7ck0OeY5ub,https://api.spotify.com/v1/audio-analysis/3Ct7wdx4Ht0c7ck0OeY5ub,380373,4,acoustic
Evidence,0.663,0.477,0,-10.882,1,0.0301,0.75,0.847,0.145,0.717,91.962,audio_features,7BIQWfDNDrX5wPHMDYmlRW,spotify:track:7BIQWfDNDrX5wPHMDYmlRW,https://api.spotify.com/v1/tracks/7BIQWfDNDrX5wPHMDYmlRW,https://api.spotify.com/v1/audio-analysis/7BIQWfDNDrX5wPHMDYmlRW,340973,4,acoustic
TheRenaissanceMan/Rebirth,0.558,0.785,9,-8.2,0,0.0361,0.145,0.887,0.119,0.707,138.028,audio_features,6rYY9SvAPaKl2mKKzfwRyp,spotify:track:6rYY9SvAPaKl2mKKzfwRyp,https://api.spotify.com/v1/tracks/6rYY9SvAPaKl2mKKzfwRyp,https://api.spotify.com/v1/audio-analysis/6rYY9SvAPaKl2mKKzfwRyp,405400,4,acoustic
NotofThisWorld,0.557,0.863,7,-8.752,1,0.0509,0.0899,0.91,0.157,0.801,129.887,audio_features,4sOuSMITxS7US1jjgghF5T,spotify:track:4sOuSMITxS7US1jjgghF5T,https://api.spotify.com/v1/tracks/4sOuSMITxS7US1jjgghF5T,https://api.spotify.com/v1/audio-analysis/4sOuSMITxS7US1jjgghF5T,359507,4,acoustic
JamesAndWes,0.485,0.399,0,-14.943,0,0.0706,0.836,0.144,0.109,0.712,172.959,audio_features,7A2eLpjNDhLh5xtu7QUIjE,spotify:track:7A2eLpjNDhLh5xtu7QUIjE,https://api.spotify.com/v1/tracks/7A2eLpjNDhLh5xtu7QUIjE,https://api.spotify.com/v1/audio-analysis/7A2eLpjNDhLh5xtu7QUIjE,491600,4,acoustic
\BigP-Live\,0.524,0.577,9,-6.456,0,0.0711,0.798,0.0906,0.766,0.616,121.405,audio_features,6zEYfHjIw593sk0JgfAkVB,spotify:track:6zEYfHjIw593sk0JgfAkVB,https://api.spotify.com/v1/tracks/6zEYfHjIw593sk0JgfAkVB,https://api.spotify.com/v1/audio-analysis/6zEYfHjIw593sk0JgfAkVB,354707,4,acoustic
Tune88,0.656,0.681,0,-6.037,1,0.0587,0.497,0.732,0.128,0.888,102.203,audio_features,5PhAUpFAoTNqA8bUt0aBlk,spotify:track:5PhAUpFAoTNqA8bUt0aBlk,https://api.spotify.com/v1/tracks/5PhAUpFAoTNqA8bUt0aBlk,https://api.spotify.com/v1/audio-analysis/5PhAUpFAoTNqA8bUt0aBlk,268360,4,acoustic
